COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
N006,FP03,,54.75,6.91,58.82,38.34,0,0,6.91,green
N003,CP03,,46.1,6.34,49.22,47.56,0,0,6.34,green
N003,CP10,,43.5,8.22,47.39,48.28,0,0,8.22,red
N003,CP10,,43.5,8.22,47.39,48.28,0,0,8.22,red
N003,CP03,,44.4,6.89,47.69,48.71,0,0,6.89,green
N00D,DP02,,42.12,6.91,45.25,50.97,0,0,6.91,green
N00D,DP02,,43.51,6.63,46.59,49.87,0,0,6.63,green
N00D,DP02,,43.27,8.32,47.2,48.41,0,0,8.32,red
N00D,DP02,,43.51,8.23,47.41,48.26,0,0,8.23,red
N006,FP05,,44.75,6.15,47.68,49.1,0,0,6.15,green
N003,CP09,,47.61,5.37,50.3,47.03,0,0,5.37,green
N003,CP09,,49.13,5.56,52.02,45.32,1.57,0,5.56,green
[NULL],7F06,,44.96,7.23,48.46,47.81,3.64,0,7.23,orange
N003,CP09,,46.27,06.08,49.26,47.65,0.59,0,06.08,green
N00D,DP14,91870381,43.89,8.55,47.99,47.56,0,0,8.55,red
N00D,DP15,91870379,39.79,5.73,42.21,54.47,05.06,0,5.73,green
[NULL],7F07,,39.02,7.71,42.28,53.27,0,0,7.71,orange
N003,CP09,,39.37,9.31,43.41,51.32,0.89,0,9.31,red
N003,CP09,,43.23,7.18,46.57,49.6,1.4,0,7.18,red
N003,CP09,,40.69,06.04,43.3,53.27,0,0,06.04,green
N003,CP09,,41.83,3.24,43.24,54.92,0,0,3.24,green
N003,CP09,,43.07,5.4,45.53,51.53,0,0,5.4,green
N014,NP01,91872189,40.73,9.17,44.84,50.1,0,0,9.17,red
N00D,DP11,91861445,36.24,05.07,38.18,58.69,0,0,05.07,green
N014,NP01,91872189,39.11,10.06,43.49,50.83,0,0,10.06,red
N003,CP02,,38.57,06.09,41.07,55.34,0,0,06.09,green
N014,NP01,91872189,48.83,4.98,51.39,46.19,0,0,4.98,green
N003,CP02,,36.65,8.82,40.19,54.53,02.08,0,8.82,red
N00D,DP11,91861445,38.52,4.65,40.39,56.84,0,0,4.65,green
N003,CP02,,31.01,10.93,34.82,58.06,3.75,0,10.93,red
N003,CP02,,36.66,5.29,38.7,58.05,0,0,5.29,green
N00D,DP11,91861445,38.58,8.97,42.38,52.45,0,0,8.97,red
N00D,DP11,91861445,30.32,8.83,33.25,60.85,0,0,8.83,red
N00D,DP11,91861445,37.78,8.26,41.19,53.95,0,0,8.26,red
N006,FP06,,49.13,7.38,53.04,43.5,0,0,7.38,red
N00D,DP15,91870379,39.15,6.52,41.88,54.32,4.78,0,6.52,green
N006,FP06,,42.28,11.9,47.99,45.83,0.82,0,11.9,red
N00D,DP17,,45.28,5,47.66,49.73,0,0,5,green
N006,FP04,,32.63,5.58,34.56,61.79,0,0,5.58,green
N006,FP04,,35.02,8.49,38.26,56.5,0,0,8.49,red
N00D,DP14,91870381,46.25,6.6,49.52,47.15,0,0,6.6,green
N00D,DP03,,35.7,7.37,38.54,56.93,2.77,0,7.37,red
N003,CP09,,46.14,7.17,49.71,46.69,0.27,0,7.17,red
N003,CP09,,41.82,8.64,45.78,49.54,0.6,0,8.64,red
N003,CP09,,35.27,12.6,40.36,52.13,2.83,0,12.6,red
N00D,DP03,,37.84,06.01,40.26,56.15,1.64,0,06.01,green
N003,CP09,,46.83,6.56,50.12,46.61,1.14,0,6.56,green
N003,CP09,,48.77,4.69,51.17,46.53,0,0,4.69,green
N006,FP04,,39.68,1.51,40.29,58.81,0,0,1.51,green
N006,FP04,,42.74,7.37,46.14,49.89,4.35,0,7.37,red
N006,FP03,,47.43,8.17,51.65,44.4,0,0,8.17,red
N006,FP04,,34.47,2.44,35.34,63.09,0,0,2.44,green
N006,FP04,,38.98,7.86,42.3,53.16,0.04,0,7.86,red
N00D,DP03,,36.05,6.48,38.55,57.47,2.46,0,6.48,green
[NULL],7F06,,46.18,5.24,48.74,48.58,2.33,0,5.24,orange
N006,FP05,,42.07,8.64,46.04,49.29,0,0,8.64,red
N006,FP04,,48.24,2.77,49.61,48.99,0,0,2.77,green
N006,FP04,,32.81,10.68,36.73,56.52,3.83,0,10.68,red
N014,NP01,91872189,49.77,7.2,53.63,43.03,0,0,7.2,red
N014,NP01,91872189,44.44,9.9,49.32,45.66,0,0,9.9,red
N014,NP01,91872189,44.66,6.9,47.97,48.44,0,0,6.9,green
N00D,DP14,91870381,41.25,09.05,45.35,49.7,0,0,09.05,red
N006,FP04,,32.73,5.3,34.56,61.97,0.24,0,5.3,green
N006,FP04,,43.93,3.27,45.42,52.8,0,0,3.27,green
N003,CP09,,37.58,11.78,42.59,50.65,2.23,0,11.78,red
N003,CP09,,45.11,7.29,48.66,47.6,1.41,0,7.29,red
N003,CP09,,42.77,8.46,46.72,48.78,1.82,0,8.46,red
N003,CP09,,48.77,4.88,51.27,46.35,0,0,4.88,green
N003,CP09,,45.55,6.72,48.83,47.73,0.68,0,6.72,green
[NULL],7F08,,43.77,3.71,45.46,52.52,0,0,3.71,orange
N006,FP05,,46.72,3.94,48.63,49.34,0,0,3.94,green
N00D,DP14,91870381,44.17,5.62,46.8,50.21,0,0,5.62,green
N00D,DP14,91870381,0,0,0,0,0,0,0,green
N006,FP06,,45.79,6.28,48.86,47.93,0.18,0,6.28,green
N006,FP06,,45.8,6.26,48.86,47.94,0,0,6.26,green
N006,FP06,,39.49,7.78,42.82,52.73,4.32,0,7.78,red
N006,FP06,,38.93,7.83,42.24,53.24,05.09,0,7.83,red
N006,FP06,,48.39,4.76,50.81,46.84,0,0,4.76,green
N006,FP06,,48.39,4.76,50.81,46.84,0,0,4.76,green
N014,NP01,91872189,47.9,6.85,51.42,45.25,0,0,6.85,green
N014,NP01,91872189,49.64,6.28,52.96,44.08,0,0,6.28,green
N014,NP01,91872189,47.62,7.42,51.44,44.96,0,0,7.42,red
N006,FP03,,52.95,4.73,55.58,42.32,0,0,4.73,green
N00D,DP15,91870379,40.68,6.17,43.36,53.14,2.53,0,6.17,green
[NULL],7F06,,45.22,6,48.1,48.78,7.16,0,6,orange
N006,FP11,,47.23,1.51,47.96,51.26,0,0,1.51,green
N013,MP04,,41.1,12.75,47.11,46.15,0,0,12.75,red
N013,MP04,,0,0,0,0,0,0,0,green
N006,FP05,,47.05,5.89,49.99,47.06,0,0,5.89,green
[NULL],7F06,,44.42,6.38,47.45,49.2,7.45,0,6.38,orange
N014,NP01,91872189,42.7,8.8,46.82,48.5,0,0,8.8,red
N014,NP01,91872189,44.92,6.12,47.85,48.96,0,0,6.12,green
N014,NP01,91872189,44.31,07.06,47.68,48.62,0,0,07.06,red
[NULL],7F06,,44.79,5.9,47.6,49.31,07.04,0,5.9,orange
N006,FP11,,48.89,2.52,50.16,48.58,0,0,2.52,green
N006,FP06,,43.48,12.37,49.61,44.15,0,0,12.37,red
N006,FP06,,42.51,12.48,48.57,45.01,0,0,12.48,red
N006,FP06,,42.51,12.48,48.57,45.01,0,0,12.48,red
[NULL],7F06,,44.38,6.38,47.4,49.24,7.51,0,6.38,orange
[NULL],7F06,,43.38,6.49,46.39,50.13,08.03,0,6.49,orange
N006,FP04,,44.89,6.73,48.13,48.38,0,0,6.73,green
N006,FP04,,39.62,10.21,44.13,50.16,0,0,10.21,red
N00D,DP14,91870381,44.24,07.01,47.58,48.75,0,0,07.01,red
N003,CP09,,47.63,6.22,50.79,46.15,1.51,0,6.22,green
N00D,DP15,91870379,39.56,6.69,42.39,53.75,4.91,0,6.69,green
N003,CP09,,49.22,6.17,52.45,44.61,2.33,0,6.17,green
N003,CP09,,48.47,6.25,51.7,45.28,2.12,0,6.25,green
N00D,DP14,91870381,40.97,7.62,44.35,51.41,0,0,7.62,red
N006,FP05,,50.4,5.67,53.42,43.94,0,0,5.67,green
N003,CP03,,47.15,6.56,50.46,46.29,0,0,6.56,green
